Nombre / Inventario,Fecha,Pais,Tipo de Objeto,Estructura Imagen (JSON/Link)
"MRZ Inv.Nr. 2025.1208, Wirkerei mit Fransen",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/e9/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1208-Wirkerei-mit-Fransen.jpg""}"
"MRZ Inv.Nr. 2025.1209.1, Gewebe",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/c/c1/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1209.1-Gewebe.jpg""}"
"MRZ Inv.Nr. 2025.1220, Gewebefragment mit Bordüre",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/0/04/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1220-Gewebefragment-mit-Bord%C3%BCre.jpg""}"
"MRZ Inv.Nr. 2025.1209.2, Gewebe",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/d5/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1209.2-Gewebe.jpg""}"
"MRZ Inv.Nr. 2025.1221, Doppelgewebe",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/8/8e/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1221-Doppelgewebe.jpg""}"
"MRZ Inv.Nr. 2025.1227, Wirkerei mit Fransen",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/2/29/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1227-Wirkerei-mit-Fransen.jpg""}"
"MRZ Inv.Nr. 2025.1222, Gewebefragment",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/77/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1222-Gewebefragment.jpg""}"
"MRZ Inv.Nr. 2025.1223, Wirkereifragment",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/1/19/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1223-Wirkereifragment.jpg""}"
"MRZ Inv.Nr. 2025.1228, Gewirkter Poncho (Unku)",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/2/2c/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1228-Gewirkter-Poncho-%28Unku%29.jpg""}"
"MRZ Inv.Nr. 2025.1224, Gesticktes Gewebe mit Tiermuster",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/d/dc/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1224-Gesticktes-Gewebe-mit-Tiermuster.jpg""}"
"MRZ Inv.Nr. 2025.1229, Zweigewebe mit zwei spiegelbildlichen Tierfiguren",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/e9/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1229-Zweigewebe-mit-zwei-spiegelbildlichen-Tierfiguren.jpg""}"
"MRZ Inv.Nr. 2025.1230, Gewebe mit der Tierfiguren",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/6/64/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1230-Gewebe-mit-der-Tierfiguren.jpg""}"
"MRZ Inv.Nr. 2025.1225, Wirkereifragment",Ano 1,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/7d/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1225-Wirkereifragment.jpg""}"
"MRZ Inv.Nr. 2025.1231, Koka-Tasche",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/5/54/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1231-Koka-Tasche.jpg""}"
"MRZ Inv.Nr. 2025.1226, Wirkerei mit schussgemusterten Einsätzen",Desconocida,Perú,textil,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/3f/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1226-Wirkerei-mit-schussgemusterten-Eins%C3%A4tzen.jpg""}"
"MRZ Inv.Nr. 2025.1276, Fledermaus-Pektorale",Desconocida,Q739,Q29527347,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/32/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1276-Fledermaus-Pektorale.jpg""}"
"MRZ Inv.Nr. 2025.1232, Wirkerei mit Figuren",Desconocida,Perú,Q28823,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/7/73/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1232-Wirkerei-mit-Figuren.jpg""}"
"MRZ Inv.Nr. 2025.1233, Wirkerei mit Vögeln",Desconocida,Q419,Q28823,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/e/ec/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1233-Wirkerei-mit-V%C3%B6geln.jpg""}"
Inv. 2025.1277 Anhänger,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/b/b6/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1277-Anh%C3%A4nger.jpg""}"
Inv. 2025.1278 Obsidian Objekt,Desconocida,Desconocido,Objeto,"{""url"": ""https://upload.wikimedia.org/wikipedia/commons/3/37/Museum-Rietberg-Z%C3%BCrich-Inv.Nr.-2025.1278-Obsidian-Objekt.jpg""}"
